SKU	ProductName	Manufacturer	ProductDescription1	ProductDescription2	SubModelDescription	MainImageURL	ShippingWeight	Caliber	Velocity	Parentage	ParentSKU	MSRP	MAP	InStockDate	InStockQuantity	QBItem	WNet	SmallImageURL	Category	UPC	BuyButtonDisabled
PY-2674-5460	Hatsan 125 Sniper Air Rifle Combo, Black	Hatsan	 Hatsan 125 Sniper air rifle Spring-piston Breakbarrel Single-shot Rifled steel barrel Integral muzzlebrake/suppressor 2-stage adjustable Quattro trigger (adj. for trigger-pull weight and travel) 11mm and Weaver optics rail Fixed TruGlo fiber optic front sight (red, 0.060&quot;) Fully adjustable TruGlo fiber optic rear sight (green, 0.035&quot;) Anti-beartrap mechanism Automatic safety Monte Carlo buttstock Twin raised cheekpieces with vertically adjustable comb Textured pistol grip and forearm SAS (shock absorber system) that reduces vibration Triopad rubber recoil pad with 3 stock spacers to adjust pull length Black synthetic stock 9.30 lbs. (gun only) Includes adjustable sling, bipod (clamps onto the barrel), 3-9x32 Optima scope, mount, scope lens covers and hex wrench 		Incl. 3-9x32 scope, mount, bipod & adjustable sling. Permanently attached silencer also acts as a muzzlebrake.	http://www.pyramydair.com/images/Hatsan-Model125-Sniper-Combo-Black_H-125SN177.jpg	6.20	0.25	750.00	submodel	PY-2674	320.00	259.95		100	H-125SN025	225.10	http://www.pyramydair.com/images/Hatsan-Model125-Sniper-Combo-Black_H-125SN177_sm.jpg	AIR RIFLES	817461010178	false
PY-2674	Hatsan 125 Sniper Air Rifle Combo, Black	Hatsan	 Hatsan 125 Sniper air rifle Spring-piston Breakbarrel Single-shot Rifled steel barrel Integral muzzlebrake/suppressor 2-stage adjustable Quattro trigger (adj. for trigger-pull weight and travel) 11mm and Weaver optics rail Fixed TruGlo fiber optic front sight (red, 0.060&quot;) Fully adjustable TruGlo fiber optic rear sight (green, 0.035&quot;) Anti-beartrap mechanism Automatic safety Monte Carlo buttstock Twin raised cheekpieces with vertically adjustable comb Textured pistol grip and forearm SAS (shock absorber system) that reduces vibration Triopad rubber recoil pad with 3 stock spacers to adjust pull length Black synthetic stock 9.30 lbs. (gun only) Includes adjustable sling, bipod (clamps onto the barrel), 3-9x32 Optima scope, mount, scope lens covers and hex wrench 			http://www.pyramydair.com/images/Hatsan-Model125-Sniper-Combo-Black_H-125SN177.jpg	6.20	0.25	750.00	model		320.00	259.95				0.00	http://www.pyramydair.com/images/Hatsan-Model125-Sniper-Combo-Black_H-125SN177_sm.jpg	AIR RIFLES	817461010178	false
PY-2675-5269	Hatsan 125 Sniper Air Rifle Combo, Camo	Hatsan	 Hatsan 125 Sniper air rifle Spring-piston Breakbarrel Single-shot Rifled steel barrel Integral muzzlebrake/suppressor 2-stage adjustable Quattro trigger (adj. for trigger-pull weight and travel) 11mm and Weaver optics rail Fixed TruGlo fiber optic front sight (red, 0.060&quot;) Fully adjustable TruGlo fiber optic rear sight (green, 0.035&quot;) Anti-beartrap mechanism Automatic safety Monte Carlo buttstock Twin raised cheekpieces with vertically adjustable comb Textured pistol grip and forearm SAS (shock absorber system) that reduces vibration Triopad rubber recoil pad with 3 stock spacers to adjust pull length Mossy Oak Break Up camo synthetic stock 9.20 lbs. (gun only) Includes adjustable sling, bipod (clamps onto the barrel), 3-9x32 Optima scope, mount, scope lens covers and hex wrench 		Incl. 3-9x32 scope, mount, bipod & adjustable sling. Permanently attached silencer also acts as a muzzlebrake.	http://www.pyramydair.com/images/Hatsan-Model125-Sniper-Combo-Camo_H-125SNC25.jpg	7.03	0.25	750.00	submodel	PY-2675	370.00	269.99		100	H-125SNC25	233.57	http://www.pyramydair.com/images/Hatsan-Model125-Sniper-Combo-Camo_H-125SNC25_sm.jpg	AIR RIFLES	817461010048	false
PY-2675-5461	Hatsan 125 Sniper Air Rifle Combo, Camo	Hatsan	 Hatsan 125 Sniper air rifle Spring-piston Breakbarrel Single-shot Rifled steel barrel Integral muzzlebrake/suppressor 2-stage adjustable Quattro trigger (adj. for trigger-pull weight and travel) 11mm and Weaver optics rail Fixed TruGlo fiber optic front sight (red, 0.060&quot;) Fully adjustable TruGlo fiber optic rear sight (green, 0.035&quot;) Anti-beartrap mechanism Automatic safety Monte Carlo buttstock Twin raised cheekpieces with vertically adjustable comb Textured pistol grip and forearm SAS (shock absorber system) that reduces vibration Triopad rubber recoil pad with 3 stock spacers to adjust pull length Mossy Oak Break Up camo synthetic stock 9.20 lbs. (gun only) Includes adjustable sling, bipod (clamps onto the barrel), 3-9x32 Optima scope, mount, scope lens covers and hex wrench 		Incl. 3-9x32 scope, mount, bipod & adjustable sling. Permanently attached silencer also acts as a muzzlebrake.	http://www.pyramydair.com/images/Hatsan-Model125-Sniper-Combo-Camo_H-125SNC25.jpg	7.03	0.22	1000.00	submodel	PY-2675	370.00	269.99	2014-05-07	0	H-125SNC022	233.53	http://www.pyramydair.com/images/Hatsan-Model125-Sniper-Combo-Camo_H-125SNC25_sm.jpg	AIR RIFLES	817461010208	false
PY-2675-5462	Hatsan 125 Sniper Air Rifle Combo, Camo	Hatsan	 Hatsan 125 Sniper air rifle Spring-piston Breakbarrel Single-shot Rifled steel barrel Integral muzzlebrake/suppressor 2-stage adjustable Quattro trigger (adj. for trigger-pull weight and travel) 11mm and Weaver optics rail Fixed TruGlo fiber optic front sight (red, 0.060&quot;) Fully adjustable TruGlo fiber optic rear sight (green, 0.035&quot;) Anti-beartrap mechanism Automatic safety Monte Carlo buttstock Twin raised cheekpieces with vertically adjustable comb Textured pistol grip and forearm SAS (shock absorber system) that reduces vibration Triopad rubber recoil pad with 3 stock spacers to adjust pull length Mossy Oak Break Up camo synthetic stock 9.20 lbs. (gun only) Includes adjustable sling, bipod (clamps onto the barrel), 3-9x32 Optima scope, mount, scope lens covers and hex wrench 		Incl. 3-9x32 scope, mount, bipod & adjustable sling. Permanently attached silencer also acts as a muzzlebrake.	http://www.pyramydair.com/images/Hatsan-Model125-Sniper-Combo-Camo_H-125SNC25.jpg	7.03	0.177	1250.00	submodel	PY-2675	370.00	269.99		100	H-125SNC177	233.57	http://www.pyramydair.com/images/Hatsan-Model125-Sniper-Combo-Camo_H-125SNC25_sm.jpg	AIR RIFLES	817461010215	false
PY-2675	Hatsan 125 Sniper Air Rifle Combo, Camo	Hatsan	 Hatsan 125 Sniper air rifle Spring-piston Breakbarrel Single-shot Rifled steel barrel Integral muzzlebrake/suppressor 2-stage adjustable Quattro trigger (adj. for trigger-pull weight and travel) 11mm and Weaver optics rail Fixed TruGlo fiber optic front sight (red, 0.060&quot;) Fully adjustable TruGlo fiber optic rear sight (green, 0.035&quot;) Anti-beartrap mechanism Automatic safety Monte Carlo buttstock Twin raised cheekpieces with vertically adjustable comb Textured pistol grip and forearm SAS (shock absorber system) that reduces vibration Triopad rubber recoil pad with 3 stock spacers to adjust pull length Mossy Oak Break Up camo synthetic stock 9.20 lbs. (gun only) Includes adjustable sling, bipod (clamps onto the barrel), 3-9x32 Optima scope, mount, scope lens covers and hex wrench 			http://www.pyramydair.com/images/Hatsan-Model125-Sniper-Combo-Camo_H-125SNC25.jpg	7.03	0.177	1250.00	model		370.00	269.99				0.00	http://www.pyramydair.com/images/Hatsan-Model125-Sniper-Combo-Camo_H-125SNC25_sm.jpg	AIR RIFLES	817461010215	false
PY-2676-5270	Hatsan 125TH Air Rifle Combo, Black	Hatsan	 Hatsan 125TH (thumbhole) air rifle Spring-piston Breakbarrel Single-shot Rifled steel barrel Muzzlebrake for extra cocking leverage 2-stage adjustable Quattro trigger (adj. for trigger-pull weight and travel) 11mm and Weaver optics rail Fixed TruGlo fiber optic front sight (red, 0.600&quot;) Fully adjustable TruGlo fiber optic rear sight (green, 0.035&quot;) Anti-beartrap mechanism Automatic safety Monte Carlo buttstock Raised right-hand cheekpiece SAS (shock absorber system) that reduces vibration Triopad rubber recoil pad with 3 stock spacers to adjust pull length Black synthetic thumbhole stock with raised right-hand cheekpiece 9.30 lbs. (gun only) Includes 3-9x32 Optima scope, mount, scope lens covers and hex wrench 		Incl. 3-9x32 scope, mount and muzzlebrake	http://www.pyramydair.com/images/Hatsan-Model125-Thumbhole-Combo-Black_H-125TH177_02.jpg	5.99	0.177	1250.00	submodel	PY-2676	267.00	199.99		100	H-125TH177	169.83	http://www.pyramydair.com/images/Hatsan-Model125-Thumbhole-Combo-Black_H-125TH177_sm02.jpg	AIR RIFLES	817461010024	false
PY-2676-5440	Hatsan 125TH Air Rifle Combo, Black	Hatsan	 Hatsan 125TH (thumbhole) air rifle Spring-piston Breakbarrel Single-shot Rifled steel barrel Muzzlebrake for extra cocking leverage 2-stage adjustable Quattro trigger (adj. for trigger-pull weight and travel) 11mm and Weaver optics rail Fixed TruGlo fiber optic front sight (red, 0.600&quot;) Fully adjustable TruGlo fiber optic rear sight (green, 0.035&quot;) Anti-beartrap mechanism Automatic safety Monte Carlo buttstock Raised right-hand cheekpiece SAS (shock absorber system) that reduces vibration Triopad rubber recoil pad with 3 stock spacers to adjust pull length Black synthetic thumbhole stock with raised right-hand cheekpiece 9.30 lbs. (gun only) Includes 3-9x32 Optima scope, mount, scope lens covers and hex wrench 		Hatsan Model 125 Air Rifle Combo, Thumbhole Stock, .22 Cal	http://www.pyramydair.com/images/Hatsan-Model125-Thumbhole-Combo-Black_H-125TH177_02.jpg	5.31	0.22	1000.00	submodel	PY-2676	250.00	199.99		100	H-125TH022	169.83	http://www.pyramydair.com/images/Hatsan-Model125-Thumbhole-Combo-Black_H-125TH177_sm02.jpg	AIR RIFLES	817461010086	false
PY-2676-5441	Hatsan 125TH Air Rifle Combo, Black	Hatsan	 Hatsan 125TH (thumbhole) air rifle Spring-piston Breakbarrel Single-shot Rifled steel barrel Muzzlebrake for extra cocking leverage 2-stage adjustable Quattro trigger (adj. for trigger-pull weight and travel) 11mm and Weaver optics rail Fixed TruGlo fiber optic front sight (red, 0.600&quot;) Fully adjustable TruGlo fiber optic rear sight (green, 0.035&quot;) Anti-beartrap mechanism Automatic safety Monte Carlo buttstock Raised right-hand cheekpiece SAS (shock absorber system) that reduces vibration Triopad rubber recoil pad with 3 stock spacers to adjust pull length Black synthetic thumbhole stock with raised right-hand cheekpiece 9.30 lbs. (gun only) Includes 3-9x32 Optima scope, mount, scope lens covers and hex wrench 		Hatsan Model 125 Air Rifle Combo, Thumbhole Stock, .25 Cal	http://www.pyramydair.com/images/Hatsan-Model125-Thumbhole-Combo-Black_H-125TH177_02.jpg	5.08	0.25	750.00	submodel	PY-2676	250.00	199.99		100	H-125TH025	169.83	http://www.pyramydair.com/images/Hatsan-Model125-Thumbhole-Combo-Black_H-125TH177_sm02.jpg	AIR RIFLES	817461010093	false
PY-2676	Hatsan 125TH Air Rifle Combo, Black	Hatsan	 Hatsan 125TH (thumbhole) air rifle Spring-piston Breakbarrel Single-shot Rifled steel barrel Muzzlebrake for extra cocking leverage 2-stage adjustable Quattro trigger (adj. for trigger-pull weight and travel) 11mm and Weaver optics rail Fixed TruGlo fiber optic front sight (red, 0.600&quot;) Fully adjustable TruGlo fiber optic rear sight (green, 0.035&quot;) Anti-beartrap mechanism Automatic safety Monte Carlo buttstock Raised right-hand cheekpiece SAS (shock absorber system) that reduces vibration Triopad rubber recoil pad with 3 stock spacers to adjust pull length Black synthetic thumbhole stock with raised right-hand cheekpiece 9.30 lbs. (gun only) Includes 3-9x32 Optima scope, mount, scope lens covers and hex wrench 			http://www.pyramydair.com/images/Hatsan-Model125-Thumbhole-Combo-Black_H-125TH177_02.jpg	5.08	0.25	750.00	model		250.00	199.99				0.00	http://www.pyramydair.com/images/Hatsan-Model125-Thumbhole-Combo-Black_H-125TH177_sm02.jpg	AIR RIFLES	817461010093	false
